ticker,fetch_date,trailingPE,forwardPE,priceToBook,priceToSales,enterpriseToEbitda,enterpriseToRevenue,profitMargins,operatingMargins,returnOnAssets,returnOnEquity,grossMargins,earningsGrowth,revenueGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,dividendYield,payoutRatio,marketCap,enterpriseValue,beta,averageVolume,52WeekChange,trailingEps,forwardEps,bookValue,sector,industry
ADP,2025-12-16,26.180832,22.182594,16.830772,5.1344986,17.944,5.231,0.19788,0.25891,0.06624,0.70572996,0.48306,0.064,0.071,0.059,154.917,1.054,0.266,2.57,0.6081,107328471040,109336092672.0,0.86,2118374,-0.09970564,10.12,11.94405,15.742,Technology,Software - Application
AEE,2025-12-16,19.013462,18.51408,2.092664,3.0971434,13.249,5.439,0.1634,0.34,0.02931,0.11387,0.47099,0.382,0.248,0.404,155.736,0.93,0.461,2.87,0.5385,26743832576,46967832576.0,0.581,1681027,0.09686518,5.2,5.34026,47.246,Utilities,Utilities - Regulated Electric
ADSK,2025-12-16,57.14757,25.400917,21.567492,9.101049,35.462,9.123,0.16129999,0.25688,0.097449996,0.40333998,0.92130995,0.26,0.18,0.247,94.504,0.823,0.654,,0.0,62688030720,62838718464.0,1.475,1428490,-0.017105877,5.15,11.58659,13.646,Technology,Software - Application
AES,2025-12-16,9.118421,5.9907675,2.5538971,0.8161068,14.558,3.859,0.0874,0.20501,0.02269,0.05106,0.17265,0.253,0.019,0.268,302.896,0.723,0.376,5.08,0.46080002,9869996032,46671994880.0,1.001,9733775,0.07459211,1.52,2.31356,5.427,Utilities,Utilities - Diversified
AEP,2025-12-16,16.95022,18.328796,2.038599,2.9151664,12.522,5.159,0.17228001,0.25885,0.03209,0.12923001,0.48422,0.006,0.109,0.013,152.132,0.686,0.419,3.28,0.5447,61967695872,109654597632.0,0.598,3517088,0.24162316,6.83,6.31629,56.789,Utilities,Utilities - Regulated Electric
AFL,2025-12-16,14.632546,15.120284,2.0432472,3.3689458,11.88,3.596,0.23552,0.4327,0.02645,0.1558,0.48172,,0.607,,50.003,1.089,0.993,2.19,0.2943,59633709056,63653703680.0,0.658,2197208,0.07104623,7.62,7.3742,54.57,Financial Services,Insurance - Life
AIG,2025-12-16,15.521584,10.978303,1.1437129,1.7629251,5.392,1.653,0.120170005,0.15235,0.017819999,0.07688,0.34012002,0.323,-0.041,0.131,22.48,0.617,0.214,2.12,0.3058,47810531328,44837412864.0,0.626,4631109,0.19208086,5.56,7.86096,75.456,Financial Services,Insurance - Diversified
AIZ,2025-12-16,14.205846,11.207192,2.0333514,0.9364624,8.386,0.941,0.06753,0.11153,0.020539999,0.15413,0.11491,1.027,0.089,0.985,38.316,0.41,0.146,1.51,0.195,11770115072,11830020096.0,0.573,307643,0.07591963,16.42,20.81342,114.717,Financial Services,Insurance - Property & Casualty
AKAM,2025-12-16,25.375366,11.82755,2.6289723,3.011868,14.11,4.007,0.12262999,0.15743,0.03785,0.10642,0.59126997,1.553,0.05,1.421,110.548,2.281,1.983,,0.0,12448658432,16560991232.0,0.682,2747637,-0.11791289,3.41,7.31597,32.914,Technology,Software - Infrastructure
AJG,2025-12-16,40.990402,19.10232,2.835058,5.446895,22.704,6.468,0.13257,0.17212,0.023020001,0.090670004,0.43601,-0.252,0.2,-0.128,58.979,1.055,0.167,1.01,0.4073,65790869504,78124695552.0,0.688,1637808,-0.097310126,6.25,13.41146,90.365,Financial Services,Insurance Brokers
ALB,2025-12-16,,145.99944,2.005065,3.1461105,28.56,4.024,-0.00428,-0.02244,0.0014,0.00209,0.12389,,-0.035,,36.655,2.273,1.384,1.23,0.5797,15561968640,19902427136.0,1.431,3587396,0.36073804,-1.59,0.90562,65.943,Basic Materials,Specialty Chemicals
ALGN,2025-12-16,31.536821,14.858474,2.962282,2.961794,13.31,2.71,0.095010005,0.15673,0.06323,0.095769994,0.69254994,-0.497,0.018,-0.511,3.064,1.289,1.091,,0.0,11795705856,10792558592.0,1.859,1401098,-0.2769984,5.16,10.952,54.934,Healthcare,Medical Instruments & Supplies
ALL,2025-12-16,6.872244,8.781482,2.177227,0.83546245,5.55,0.836,0.12533,0.24439,0.05093,0.34469002,0.28204,2.222,0.038,2.148,29.43,0.426,0.288,1.89,0.1271,55847321600,55861821440.0,0.249,1467082,0.07125127,30.84,24.13488,97.344,Financial Services,Insurance - Property & Casualty
AMAT,2025-12-16,29.927835,22.790989,10.148772,7.337097,22.805,7.192,0.24669,0.28441,0.15045999,0.35508,0.48675,0.133,-0.035,0.096,34.533,2.61,1.72,0.71,0.19860001,208138764288,204015845376.0,1.666,8408543,0.52172124,8.73,11.46374,25.744,Technology,Semiconductor Equipment & Materials
ALLE,2025-12-16,22.064953,18.336245,7.2064342,3.5249817,16.624,4.017,0.16092,0.21856001,0.10391,0.36411,0.45116,0.095,0.107,0.082,116.084,1.771,1.014,1.27,0.272,14028369920,15985370112.0,1.043,851332,0.1770345,7.39,8.89277,22.627,Industrials,Security & Protection Services
AMD,2025-12-16,109.83069,32.245235,5.559186,10.551999,56.126,10.609,0.10323,0.13736,0.025980001,0.05317,0.51457,0.603,0.356,0.612,6.366,2.308,1.176,,0.0,337948868608,339785580544.0,1.927,57411722,0.6859702,1.89,6.43754,37.34,Technology,Semiconductors
AME,2025-12-16,32.048897,25.52385,4.443448,6.550218,21.65,6.851,0.20502001,0.25787002,0.07488,0.14632,0.35878,0.088,0.108,0.092,26.09,1.155,0.66,0.61,0.1909,46927532032,49082298368.0,1.047,1366067,0.08049917,6.34,7.96079,45.728,Industrials,Specialty Industrial Machinery
AMCR,2025-12-16,27.499998,9.244526,1.622738,1.094418,13.627,1.954,0.03345,0.09713,0.03593,0.07467,0.18958999,-0.144,0.713,0.372,134.68,1.042,0.52,6.32,1.6944001,19043969024,33999269888.0,0.681,23411569,-0.1541624,0.3,0.89242,5.084,Consumer Cyclical,Packaging & Containers
AMGN,2025-12-16,25.198296,14.828574,18.211386,4.869844,13.12,6.011,0.19474001,0.34153,0.07706,0.8171,0.70051,0.136,0.124,0.136,567.491,1.28,0.823,3.04,0.72620004,175173140480,216238850048.0,0.447,2702122,0.19473588,12.91,21.93805,17.863,Healthcare,Drug Manufacturers - General
AMP,2025-12-16,13.51361,11.839621,7.090877,2.5027564,,2.13,0.19586,0.37298,0.022219999,0.59589,0.56766,0.866,0.073,0.785,54.222,2.435,1.554,1.3,0.16950001,46333530112,39430230016.0,1.263,608367,-0.08900821,36.37,41.51231,69.313,Financial Services,Asset Management
AMT,2025-12-16,28.749601,25.821812,21.35529,8.07359,19.955,12.842,0.28106,0.45477,0.04733,0.28839,0.74285007,,0.077,,418.09,0.59,0.492,3.77,1.0718,84406968320,134261809152.0,0.915,3082743,-0.06499016,6.27,6.98092,8.441,Real Estate,REIT - Specialty
AMZN,2025-12-16,31.432203,28.329124,6.434209,3.4411938,17.783,3.593,0.11063,0.11057,0.07495,0.24327,0.50046,0.364,0.134,0.382,43.405,1.009,0.76,,0.0,2379000578048,2484260831232.0,1.372,48342164,-0.02145791,7.08,7.85552,34.587,Consumer Cyclical,Internet Retail
AON,2025-12-16,28.328001,18.59308,9.598548,4.48399,17.088,5.451,0.15962,0.20365,0.05587,0.3769,0.46758,0.344,0.074,0.335,214.88,1.058,0.222,0.84,0.22719999,76353380352,92820578304.0,0.833,1208983,-0.014182985,12.5,19.04472,36.891,Financial Services,Insurance Brokers
ANET,2025-12-16,47.866917,37.460014,13.31324,18.764786,40.43,17.569,0.3973,0.42378,0.14658,0.31736,0.64343,0.155,0.275,0.14,,3.254,2.485,,0.0,158531403776,148425195520.0,1.411,8205748,0.10455954,2.63,3.36065,9.456,Technology,Computer Hardware
APA,2025-12-16,6.045455,9.311152,1.5066779,0.9642986,2.397,1.491,0.16093999,0.27281,0.099259995,0.27427998,0.66542,,-0.164,,66.895,0.775,0.585,3.96,0.2392,9041263616,13976492032.0,0.755,7173248,0.23182893,4.18,2.71395,16.772,Energy,Oil & Gas E&P
AOS,2025-12-16,18.549866,16.68396,5.1951385,2.5178761,12.281,2.515,0.13851,0.18631001,0.13878,0.28209,0.38513002,0.146,0.044,0.099,12.063,1.544,0.894,2.01,0.3666,9643717632,9632047104.0,1.335,1246679,-0.029515624,3.71,4.12492,13.247,Industrials,Specialty Industrial Machinery
APD,2025-12-16,,17.712505,3.629724,4.5306845,97.689,6.1,-0.03277,-0.89169,-0.0126,-0.01923,0.31413,-0.998,-0.006,-0.997,106.228,1.381,0.999,2.92,1.0099,54537207808,73422938112.0,0.863,1436998,-0.20252043,-1.74,13.8326,67.501,Basic Materials,Specialty Chemicals
APH,2025-12-16,43.3,32.46315,12.695464,7.581224,26.93,7.785,0.18218,0.27481002,0.14032,0.34807998,0.36308,1.021,0.534,1.061,63.99,2.07,1.409,0.77,0.22,159004803072,163270410240.0,1.194,8348309,0.7403717,3.0,4.00146,10.232,Technology,Electronic Components
APO,2025-12-16,21.592648,15.863053,3.920066,3.131258,,3.856,0.15777001,0.29920998,0.0144299995,0.16549,0.39975,1.153,0.264,1.141,94.598,1.986,1.875,1.38,0.28350002,85223448576,104957444096.0,1.605,3644154,-0.16033351,6.8,9.2561,37.456,Financial Services,Asset Management
APP,2025-12-16,79.33783,48.42329,155.06775,36.207104,58.77,36.468,0.44879,0.76795,0.36786997,2.41886,0.79688,0.959,0.682,0.923,238.274,3.25,3.048,,0.0,228374495232,230020448256.0,2.509,6340503,0.98487675,8.51,13.94298,4.354,Communication Services,Advertising Agencies
APTV,2025-12-16,58.59848,9.210723,1.8045868,0.83583367,7.336,1.167,0.01464,0.114350006,0.057729997,0.03294,0.19408001,,0.074,,85.425,1.793,1.215,,0.0,16843720704,23525742592.0,1.516,2098912,0.36156237,1.32,8.39782,42.863,Consumer Cyclical,Auto Parts
ARE,2025-12-16,,13.781977,0.48534545,2.679064,13.299,8.517,-0.13436,0.19073,0.010670001,-0.01084,0.69575995,,-0.05,,66.083,1.579,1.363,9.87,6.8946996,8193635840,26048665600.0,1.329,2707164,-0.54413056,-2.47,3.44,97.683,Real Estate,REIT - Office
ARES,2025-12-16,73.48085,26.50397,12.626499,10.563645,41.509,10.25,0.12145001,0.24098,0.026800001,0.17087999,0.37186,1.088,0.467,1.439,147.431,0.492,0.429,2.58,1.8101,56574214144,54893785088.0,1.545,3009990,-0.025514483,2.35,6.51525,13.676,Financial Services,Asset Management
ATO,2025-12-16,22.58598,19.677282,2.0346758,5.870844,15.808,7.806,0.2549,0.30696,0.037130002,0.09323,0.58131003,0.256,0.121,0.305,68.616,0.773,0.431,2.38,0.4665,27609139200,36709957632.0,0.747,967543,0.1909039,7.56,8.67752,83.92,Utilities,Utilities - Regulated Gas
AVB,2025-12-16,21.681707,34.09518,2.106192,8.257506,18.268,11.137,0.38122,0.2928,0.02813,0.09754,0.63443,0.024,0.044,0.024,73.165,0.707,0.09,3.94,0.84760004,25314277376,34141970432.0,0.743,956325,-0.2204988,8.2,5.21452,84.413,Real Estate,REIT - Residential
AVGO,2025-12-16,71.38865,24.62236,5.737998,25.117891,5.243,2.775,0.36198002,0.31765,0.09349,0.31048,0.77325994,1.881,0.164,1.727,166.032,1.705,1.26,0.72,0.4948,1604706762752,177310236672.0,1.204,24309983,0.49827254,4.76,13.80087,59.221,Technology,Semiconductors
AVY,2025-12-16,20.826532,17.458868,6.4425507,1.6189728,12.115,1.984,0.07932,0.12687999,0.08288,0.30211002,0.28561002,-0.053,0.015,-0.085,171.013,1.264,0.793,2.05,0.4132,14198390784,17397790720.0,1.015,757346,-0.046275973,8.82,10.5213,28.512,Consumer Cyclical,Packaging & Containers
AWK,2025-12-16,23.572935,22.017256,2.3995492,5.162115,14.96,8.147,0.21933001,0.42591,0.035520002,0.10457,0.6075,0.081,0.097,0.083,140.983,0.421,0.31,2.47,0.55979997,26171924480,41303924736.0,0.751,1805314,0.018346548,5.69,6.09204,55.898,Utilities,Utilities - Regulated Water
AXON,2025-12-16,175.17142,73.167336,14.377393,17.022179,606.698,16.887,0.100509994,-0.00229,-0.00032000002,0.10028,0.60357,,0.306,,69.33,3.124,2.729,,0.0,43542003712,43196305408.0,1.395,794314,-0.11243236,3.15,7.54148,38.379,Industrials,Aerospace & Defense
AXP,2025-12-16,25.71035,21.92396,8.13131,4.0773067,,4.136,0.16143999,0.22052999,0.03708,0.33935001,0.64135003,0.186,0.122,0.158,185.273,1.602,1.579,0.83,0.15720001,266223681536,270040973312.0,1.147,2617301,0.26952946,14.88,17.44986,47.049,Financial Services,Credit Services
BA,2025-12-16,,86.43315,-18.908722,1.9926587,-30.814,2.348,-0.12197,-0.204,-0.035099998,,0.01195,,0.304,,,1.182,0.335,,0.0,160921141248,189630611456.0,1.175,8833116,0.1811825,-13.71,2.37756,-10.868,Industrials,Aerospace & Defense
BAX,2025-12-16,,8.475459,1.3861879,0.9107784,8.678,1.633,-0.030940002,0.10123,0.02849,-0.04658,0.3793,,0.05,,134.627,1.837,0.954,2.72,3.0769,10039510016,17998510080.0,0.607,7685998,-0.3539136,-0.7,2.3043,14.089,Healthcare,Medical Instruments & Supplies
AZO,2025-12-16,24.330217,19.679193,-17.921148,2.9998517,16.651,3.614,0.12776,0.16941999,0.119619995,,0.52146,-0.046,0.082,-0.06,,0.86,0.029,,0.0,57860255744,69708496896.0,0.405,141825,0.0381428,143.39,177.27911,-194.67,Consumer Cyclical,Auto Parts
BALL,2025-12-16,20.07004,12.917866,2.554224,1.1058327,10.529,1.639,0.05357,0.11542,0.04535,0.117469996,0.19860001,0.811,0.096,0.629,138.426,1.105,0.675,1.55,0.31129998,14037440512,20805779456.0,1.135,2865408,-0.11844158,2.57,3.99292,20.194,Consumer Cyclical,Packaging & Containers
BAC,2025-12-16,15.117487,12.645441,1.4579326,4.0398874,,4.129,0.29224002,0.35292998,0.00881,0.09871,0.0,0.315,0.126,0.228,,,,2.03,0.28959998,409826394112,418904080384.0,1.304,35894879,0.2239734,3.66,4.37549,37.951,Financial Services,Banks - Diversified
BEN,2025-12-16,25.956043,8.403301,1.0188061,1.4030038,8.635,1.675,0.05985,0.17558001,0.022550002,0.03818,0.37402,,0.06,,23.699,4.097,1.091,5.45,1.4066,12305326080,14690825216.0,1.494,4406250,0.10028112,0.91,2.8108,23.184,Financial Services,Asset Management
BBY,2025-12-16,24.056107,10.799526,5.7698092,0.36615136,7.015,0.437,0.015420001,0.039809998,0.06519,0.22493,0.22496,-0.476,0.024,-0.487,154.542,1.045,0.208,5.17,1.2508,15314281472,18288013312.0,1.391,3718950,-0.1602652,3.03,6.74937,12.633,Consumer Cyclical,Specialty Retail
BDX,2025-12-16,34.379723,12.577,2.2491627,2.625975,12.292,3.502,0.07683,0.17858,0.041739997,0.06544,0.47431,0.252,0.083,0.233,78.85,1.113,0.438,2.09,0.71480006,57351286784,76480397312.0,0.277,2031964,-0.109687984,5.82,15.9092,88.962,Healthcare,Medical Instruments & Supplies
BF-B,2025-12-16,17.760235,17.51937,3.447219,3.617298,13.966,4.216,0.20828,0.2944,0.08208,0.20666,0.59115005,-0.139,-0.054,-0.132,64.03,2.974,0.961,3.0,0.5298,14067671040,16395671552.0,0.403,4028101,-0.28029948,1.71,1.73351,8.81,Consumer Defensive,Beverages - Wineries & Distilleries
BG,2025-12-16,10.426802,10.42921,1.1357251,0.3081692,16.335,0.566,0.02201,0.02194,0.02592,0.09758,0.05691,-0.46,0.716,-0.249,102.816,1.66,0.476,3.02,0.3108,18523742208,34041298944.0,0.778,1655533,0.14236498,8.88,8.87795,81.525,Consumer Defensive,Farm Products
BK,2025-12-16,16.853025,14.34388,2.089019,4.1798406,,-0.669,0.26568002,0.37402,0.01194,0.121520005,0.0,0.253,0.1,0.223,,,,1.81,0.27989998,82484969472,-13198046208.0,1.12,3432911,0.49177825,6.94,8.154,55.988,Financial Services,Banks - Diversified
BKNG,2025-12-16,35.58751,20.531631,-37.22953,6.79302,17.531,6.611,0.19371,0.44904998,0.20249,,0.86992997,0.135,0.127,0.092,,1.334,1.262,0.72,0.24440001,176883433472,172141084672.0,1.254,275477,0.028454185,153.36,265.81912,-146.596,Consumer Cyclical,Travel Services
BIIB,2025-12-16,16.020054,11.569728,1.4159564,2.5612674,8.263,2.799,0.1598,0.30718002,0.057490002,0.09307,0.76563,0.192,0.028,0.201,36.194,2.716,1.766,,0.0,25781458944,28170565632.0,0.128,1819711,0.1557355,10.97,15.18964,124.114,Healthcare,Drug Manufacturers - General
BLDR,2025-12-16,19.859583,16.205654,2.680703,0.7393677,10.215,1.045,0.03795,0.05805,0.057589997,0.13555999,0.30971,-0.549,-0.069,-0.57,117.723,1.786,1.083,,0.0,11573364736,16358359040.0,1.565,2078374,-0.3225081,5.27,6.45824,39.042,Industrials,Building Products & Equipment
BKR,2025-12-16,16.168964,17.55509,2.5474005,1.6697277,10.601,1.797,0.104329996,0.13524,0.057729997,0.1689,0.21353,-0.208,0.015,-0.205,33.042,1.409,0.744,1.96,0.3103,46269825024,49803829248.0,0.892,7409775,0.13161075,2.9,2.67102,18.407,Energy,Oil & Gas Equipment & Services
BLK,2025-12-16,27.854828,20.11875,3.023638,7.3366017,19.572,7.72,0.26638,0.3214,0.034140002,0.120740004,0.47664002,-0.226,0.252,-0.189,24.32,2.256,1.661,1.91,0.53360003,167898120192,176679108608.0,1.484,657577,0.03799963,38.85,53.78863,357.9,Financial Services,Asset Management
BRK-B,2025-12-16,15.974133,20.932743,0.0010434922,2.935633,-2.421,-0.676,0.18129,0.41103,0.04775,0.1017,0.24361,0.172,0.021,0.173,18.166,2.722,2.55,,0.0,1092431183872,-251415707648.0,0.703,4668788,0.09625602,31.7,24.19081,485274.34,Financial Services,Insurance - Diversified
BR,2025-12-16,29.313297,22.323067,10.151904,3.7923717,17.174,4.244,0.13112001,0.118719995,0.09519,0.38215,0.31344,1.059,0.117,1.073,132.063,0.927,0.798,1.7,0.4623,26757457920,29945958400.0,0.994,687190,0.0015673637,7.82,10.26875,22.58,Technology,Information Technology Services
BRO,2025-12-16,24.948486,17.665146,2.2400281,5.254051,18.853,6.537,0.18691999,0.27355,0.0417,0.10695,0.49550998,-0.161,0.342,-0.03,64.746,1.182,0.472,0.8,0.18180001,28109174784,34973171712.0,0.815,2840406,-0.20895523,3.3,4.66059,36.754,Financial Services,Insurance Brokers
BMY,2025-12-16,17.626625,9.054551,5.958077,2.3008919,7.551,3.021,0.12572,0.31566,0.0939,0.33777002,0.73146003,0.809,0.028,0.818,274.414,1.266,1.106,4.81,0.835,110521040896,145108025344.0,0.302,16780619,-0.09089333,3.08,5.99588,9.112,Healthcare,Drug Manufacturers - General
BSX,2025-12-16,49.299465,26.592937,5.8414655,7.0632243,29.121,7.632,0.1443,0.20731,0.05756,0.12488,0.68329,0.6,0.203,0.61,50.973,1.508,0.77,,0.0,136666333184,147672334336.0,0.674,9670759,0.02377534,1.87,3.46671,15.782,Healthcare,Medical Devices
BX,2025-12-16,43.450867,23.428648,14.021637,14.422084,,11.115,0.2117,0.44629002,0.121190004,0.26457,1.0,-0.214,-0.196,-0.2,65.942,1.004,0.941,3.1,1.2241,184476024832,142175862784.0,1.762,4206451,-0.17437607,3.46,6.41693,10.722,Financial Services,Asset Management
BXP,2025-12-16,,34.99343,2.2691126,3.6990478,15.947,8.862,-0.058509998,0.28563,0.02379,-0.01883,0.60346,,0.018,,231.148,1.101,0.984,3.91,196.0,12669331456,30353883136.0,1.008,1725366,-0.11137384,-1.28,2.04667,31.563,Real Estate,REIT - Office
C,2025-12-16,15.688457,11.440163,1.0405041,2.754607,,0.503,0.19488001,0.30606002,0.0058399998,0.06995,0.0,0.232,0.116,0.159,,,,2.15,0.3202,207653289984,37936222208.0,1.196,12845522,0.57199097,7.19,9.86,108.409,Financial Services,Banks - Diversified
CAG,2025-12-16,10.135593,9.686145,0.962498,0.7494545,8.216,1.412,0.07424,0.11688,0.046669997,0.096540004,0.25496,-0.649,-0.058,-0.648,92.867,1.058,0.401,7.8,0.791,8581628928,16163328000.0,-0.016,11088398,-0.36334288,1.77,1.85213,18.639,Consumer Defensive,Packaged Foods
CARR,2025-12-16,32.8625,17.645243,3.0583994,2.0285966,15.214,2.517,0.18052,0.09554,0.03812,0.0998,0.2736,0.005,-0.068,-0.043,83.159,1.141,0.655,1.81,0.5406,44746784768,55530389504.0,1.298,6836988,-0.24672735,1.6,2.97984,17.192,Industrials,Building Products & Equipment
CAT,2025-12-16,30.668749,26.450563,13.360215,4.2722416,22.274,4.807,0.14339,0.17746,0.08201,0.46283,0.3012,-0.036,0.095,-0.067,201.046,1.384,0.784,1.01,0.29479998,276290142208,310897639424.0,1.563,2919612,0.5909792,19.23,22.29669,44.143,Industrials,Farm & Heavy Construction Machinery
CAH,2025-12-16,30.11446,18.039183,-16.529718,0.20276345,14.7,0.222,0.00681,0.01205,0.03438,,0.03664,0.106,0.224,0.082,,0.957,0.456,1.02,0.3066,47509504000,52096503808.0,0.635,2512514,0.71110344,6.64,11.08476,-12.097,Healthcare,Medical Distribution
CB,2025-12-16,13.074446,11.921178,1.7155352,2.1181226,11.556,2.489,0.16442,0.25623,0.029679999,0.1364,0.29035,0.226,0.091,0.205,30.958,0.38,0.176,1.26,0.1571,124634570752,146451939328.0,0.522,1828070,0.11485779,23.91,26.22308,182.223,Financial Services,Insurance - Property & Casualty
CBOE,2025-12-16,26.532257,22.699945,5.2854233,5.5916305,17.314,5.613,0.21287,0.32846,0.09729,0.21621001,0.49428,0.377,0.081,0.377,32.645,1.718,0.903,1.17,0.28059998,25821032448,25918734336.0,0.353,765624,0.2773627,9.3,10.87007,46.685,Financial Services,Financial Data & Stock Exchanges
CBRE,2025-12-16,39.324257,21.57191,5.455888,1.202253,20.889,1.407,0.031229999,0.04923,0.044299997,0.14091,0.19296,0.658,0.135,0.613,104.121,1.127,0.883,,0.0,47278596096,55335464960.0,1.337,1490051,0.17485094,4.04,7.36467,29.119,Real Estate,Real Estate Services
CCI,2025-12-16,,26.052402,-26.075174,6.070252,17.675,10.668,-0.71931,0.49254,0.03974,-2.06679,0.71168,0.066,-0.043,0.066,,0.259,0.095,4.75,2.2199001,38971015168,68489015296.0,0.959,2944796,-0.041315317,-9.05,3.435,-3.432,Real Estate,REIT - Specialty
CCL,2025-12-16,14.742268,11.833096,3.1459687,1.4783922,9.123,2.427,0.10069,0.27867,0.05284,0.25733998,0.55025,0.06,0.033,0.067,233.568,0.338,0.241,,0.0,38778228736,63653052416.0,2.536,22392280,0.07387245,1.94,2.41695,9.091,Consumer Cyclical,Travel Services
CDNS,2025-12-16,82.06958,39.543896,16.671726,16.645926,45.799,16.542,0.20354,0.35089,0.11089,0.21736,0.85545,0.207,0.101,0.206,47.685,3.048,2.685,,0.0,86768984064,86226067456.0,1.051,1766374,0.038124323,3.88,8.05257,19.1,Technology,Software - Application
CDW,2025-12-16,18.316057,13.679798,7.4331746,0.8592242,12.433,1.109,0.04757,0.07953,0.071,0.43007,0.21604,-0.056,0.04,-0.08,239.737,1.39,1.244,1.74,0.3161,18988081152,24504668160.0,1.063,1468269,-0.17961055,7.91,10.5908,19.491,Technology,Information Technology Services
CEG,2025-12-16,40.309258,31.530697,7.7718544,4.4914665,19.391,4.643,0.11026,0.16332,0.0388,0.19839,0.20131999,-0.223,0.003,-0.225,61.51,1.563,1.144,0.44,0.1736,111572525056,115339862016.0,1.138,2627866,0.5026468,8.86,11.32674,45.953,Utilities,Utilities - Independent Power Producers
CF,2025-12-16,9.522369,10.8285675,2.5608923,1.893612,5.5,2.477,0.20472,0.33936,0.09551,0.21967,0.36862,0.416,0.211,0.279,44.133,2.273,1.863,2.54,0.24180001,12755371008,16687003648.0,0.679,2476346,-0.08640981,8.27,7.27243,30.751,Basic Materials,Agricultural Inputs
CFG,2025-12-16,16.369747,11.632559,1.0630866,3.3868113,,3.431,0.22894,0.32026002,0.0077,0.067140006,0.0,0.364,0.136,0.293,,,,3.15,0.4706,25208035328,25538172928.0,1.106,4907874,0.30509615,3.57,5.02383,54.972,Financial Services,Banks - Regional
CHD,2025-12-16,26.817036,22.67145,4.833134,3.3722808,16.922,3.665,0.12742,0.16057,0.07856,0.18594,0.44932,,0.05,,56.855,1.086,0.607,1.39,0.3687,20709177344,22509156352.0,0.454,2422488,-0.20028353,3.17,3.74965,17.589,Consumer Defensive,Household & Personal Products
